ID,GRUPO_INSTITUCION,NOMBRE,MUNICIPIO,LOCALIDAD,LATITUD,LONGITUD,CONECTIVIDAD,DISTANCIA_TORRE_ESTATAL_CERCANA,TORRE_CERCANA_COORD,PROVEEDOR_PUBLICO,IPC,,,,
3185,SALUD,CENTRO DE SALUD CIUDAD DE LOS NIÑOS,HERMOSILLO,HERMOSILLO,29.0065914,-110.9213456,CONECTADA,0.92,"29.01221702, -110.9283082",0,NIVEL 2 (MEDIO),,,,
3186,SALUD,CENTRO DE SALUD CUMPAS,CUMPAS,CUMPAS,29.99440099,-109.7827813,CONECTADA,0.69,"29.996425, -109.77598",0,NIVEL 2 (MEDIO),,,,
3187,SALUD,CENTRO DE SALUD DOMINGO OLIVARES,HERMOSILLO,HERMOSILLO,29.08668964,-110.9535549,CONECTADA,1.2,"29.07631845, -110.9570658",0,NIVEL 2 (MEDIO),,,,
3188,SALUD,CENTRO DE SALUD EMILIANO ZAPATA,HERMOSILLO,HERMOSILLO,29.04945113,-110.9630067,CONECTADA,1.78,"29.064011, -110.955496",0,NIVEL 2 (MEDIO),,,,
3189,SALUD,CENTRO DE SALUD URBANO Y ESTABILIZACION DE EMPALME,EMPALME,EMPALME,27.95863379,-110.7823197,CONECTADA,0.92,"27.959147, -110.79165",0,NIVEL 2 (MEDIO),,,,
3190,SALUD,CENTRO DE SALUD ESPERANZA,CAJEME,ESPERANZA,27.58228456,-109.9298233,CONECTADA,2.1,"27.56626, -109.9411",0,NIVEL 2 (MEDIO),,,,
3191,SALUD,CENTRO DE SALUD FLORESTA,HERMOSILLO,HERMOSILLO,29.12477449,-111.0209513,CONECTADA,2.78,"29.102933, -111.007014",0,NIVEL 2 (MEDIO),,,,
3192,SALUD,CENTRO DE SALUD GUAYMAS NORTE,GUAYMAS,GUAYMAS,27.9463934,-110.9293663,CONECTADA,0.48,"27.94620556, -110.9342083",0,NIVEL 2 (MEDIO),,,,
3193,SALUD,CENTRO DE SALUD HUATABAMPO,HUATABAMPO,HUATABAMPO,26.83583584,-109.6393042,CONECTADA,0.76,"26.84247222, -109.6411222",0,NIVEL 2 (MEDIO),,,,
3194,SALUD,CENTRO DE SALUD IMURIS,IMURIS,IMURIS,30.7832664,-110.8534539,CONECTADA,0.64,"30.7887194, -110.85133",0,NIVEL 2 (MEDIO),,,,
3195,SALUD,CENTRO DE SALUD LAS MINITAS,HERMOSILLO,HERMOSILLO,29.04536839,-110.9934893,CONECTADA,4.15,"29.06763827, -110.9592655",0,NIVEL 2 (MEDIO),,,,
3196,SALUD,CENTRO DE SALUD LOMAS DE MADRID,HERMOSILLO,HERMOSILLO,29.13057798,-110.9767023,CONECTADA,1.72,"29.14361389, -110.9862722",0,NIVEL 2 (MEDIO),,,,
3197,SALUD,CENTRO DE SALUD LOS NARANJOS,HERMOSILLO,HERMOSILLO,29.07737801,-110.9269038,CONECTADA,1.94,"29.06939286, -110.944628",0,NIVEL 2 (MEDIO),,,,
3198,SALUD,CENTRO DE SALUD LOS OLIVOS,HERMOSILLO,HERMOSILLO,29.03177382,-110.976821,CONECTADA,4.07,"29.037639, -110.935456",0,NIVEL 2 (MEDIO),,,,
3199,SALUD,CENTRO DE SALUD MIGUEL ALEMAN,HERMOSILLO,POBLADO MIGUEL ALEMAN,28.84131359,-111.4889727,CONECTADA,0.11,"28.84228, -111.48905",0,NIVEL 2 (MEDIO),,,,
3200,SALUD,CENTRO DE SALUD NACO,NACO,NACO,31.32565506,-109.9462175,CONECTADA,0.14,"31.32499, -109.94746",0,NIVEL 2 (MEDIO),,,,
3201,SALUD,CENTRO DE SALUD NACOZARI DE GARCIA,NACOZARI DE GARCIA,NACOZARI DE GARCIA,30.37253291,-109.6910883,CONECTADA,0.59,"30.37529, -109.68584",0,NIVEL 2 (MEDIO),,,,
3202,SALUD,CENTRO DE SALUD NAVOJOA CENTRO,NAVOJOA,NAVOJOA,27.06833528,-109.4502526,CONECTADA,0.3,"27.06563326, -109.4497993",0,NIVEL 2 (MEDIO),,,,
3203,SALUD,CENTRO DE SALUD NAVOJOA ORIENTE,NAVOJOA,NAVOJOA,27.0735468,-109.4182917,CONECTADA,1.1,"27.07407267, -109.42939239",0,NIVEL 2 (MEDIO),,,,
3204,SALUD,CENTRO DE SALUD NOGALES,NOGALES,NOGALES,31.28930311,-110.9580546,CONECTADA,0.49,"31.28495, -110.95889",0,NIVEL 2 (MEDIO),,,,
3205,SALUD,CENTRO DE SALUD OBREGON CENTRO,CAJEME,CD OBREGON,27.48707,-109.939154,CONECTADA,1.31,"27.49709444, -109.9322056",0,NIVEL 2 (MEDIO),,,,
3206,SALUD,CENTRO DE SALUD OBREGON NORTE,CAJEME,CD OBREGON,27.51207451,-109.9216369,CONECTADA,1.77,"27.52598056, -109.9302889",0,NIVEL 2 (MEDIO),,,,
3225,SALUD,HOSPITAL GENERAL DE NOGALES,NOGALES,NOGALES,31.30938881,-110.9442106,SIN CONEXION,0.76,"31.316111, -110.945833",0,NIVEL 3 (ALTO),,,,
3208,SALUD,CENTRO DE SALUD PEÑASCO,PUERTO PEÑASCO,PUERTO PEÑASCO,31.31972757,-113.5371295,CONECTADA,1.27,"31.32935585, -113.5298673",0,NIVEL 2 (MEDIO),,,,
3209,SALUD,CENTRO DE SALUD PITIQUITO,PITIQUITO,PITIQUITO,30.67584999,-112.0518998,CONECTADA,0.2,"30.67713, -112.05045",0,NIVEL 2 (MEDIO),,,,
3210,SALUD,CENTRO DE SALUD POBLADO MIGUEL ALEMAN 2,HERMOSILLO,HERMOSILLO,28.84943636,-111.501237,CONECTADA,1.32,"28.84294167, -111.4898444",0,NIVEL 2 (MEDIO),,,,
3211,SALUD,CENTRO DE SALUD PROGRESO NORTE,HERMOSILLO,HERMOSILLO,29.14189273,-110.9849644,CONECTADA,0.23,"29.14361389, -110.9862722",0,NIVEL 2 (MEDIO),,,,
3212,SALUD,CENTRO DE SALUD SAHUARO,HERMOSILLO,HERMOSILLO,29.10184051,-111.0057471,CONECTADA,0.17,"29.102933, -111.007014",0,NIVEL 2 (MEDIO),,,,
3213,SALUD,CENTRO DE SALUD CON HOSPITAL SANTA ANA,SANTA ANA,SANTA ANA,30.54341884,-111.1227163,CONECTADA,0.17,"30.544323, -111.121223",0,NIVEL 2 (MEDIO),,,,
3214,SALUD,CENTRO DE SALUD SANTA ISABEL,HERMOSILLO,HERMOSILLO,29.11833038,-110.9854271,CONECTADA,1.07,"29.11026111, -110.9913861",0,NIVEL 2 (MEDIO),,,,
3215,SALUD,CENTRO DE SALUD SONOYTA,SONOYTA,SONOYTA,31.86214019,-112.8475114,CONECTADA,0.31,"31.864325, -112.8494722",0,NIVEL 2 (MEDIO),,,,
3216,SALUD,CENTRO DE SALUD VILLA JUAREZ,BENITO JUAREZ,BENITO JUAREZ,27.13848004,-109.8517479,CONECTADA,2.42,"27.128213, -109.830136",0,NIVEL 2 (MEDIO),,,,
3217,SALUD,HOSPITAL COMUNITARIO ALAMOS,ALAMOS,ALAMOS,27.02632661,-108.9432822,CONECTADA,0.74,"27.021836, -108.937803",0,NIVEL 2 (MEDIO),,,,
3218,SALUD,HOSPITAL COMUNITARIO MOCTEZUMA,MOCTEZUMA,MOCTEZUMA,29.80210536,-109.6812957,CONECTADA,0.09,"29.80268, -109.68059",0,NIVEL 2 (MEDIO),,,,
3219,SALUD,HOSPITAL COMUNITARIO URES,URES,URES,29.42512976,-110.3908577,CONECTADA,0.34,"29.42809, -110.38989",0,NIVEL 2 (MEDIO),,,,
3220,SALUD,HOSPITAL GENERAL DE CABORCA,CABORCA,CABORCA,30.70414971,-112.1791371,CONECTADA,1.66,"30.715511, -112.167881",0,NIVEL 2 (MEDIO),,,,
3221,SALUD,HOSPITAL GENERAL DE CANANEA,CANANEA,CANANEA,30.99833169,-110.2536216,CONECTADA,1.41,"30.98850278, -110.2630333",0,NIVEL 2 (MEDIO),,,,
3222,SALUD,HOSPITAL GENERAL DE GUAYMAS,GUAYMAS,GUAYMAS,27.91852305,-110.9005203,CONECTADA,0.11,"27.91950278, -110.9007333",0,NIVEL 2 (MEDIO),,,,
3223,SALUD,HOSPITAL GENERAL DEL BAJO RIO MAYO,HUATABAMPO,HUATABAMPO,26.84253804,-109.641174,CONECTADA,0.01,"26.84247222, -109.6411222",0,NIVEL 2 (MEDIO),,,,
3224,SALUD,HOSPITAL GENERAL DE NAVOJOA,NAVOJOA,NAVOJOA,27.06006213,-109.4399213,CONECTADA,1.16,"27.06563326, -109.4497993",0,NIVEL 2 (MEDIO),,,,
3234,SALUD,CENTRO DE SALUD RURAL COLONIA MORELOS,AGUA PRIETA,AGUA PRIETA,30.82728214,-109.2245979,SIN CONEXION,33.65,"30.894625, -109.568311",0,NIVEL 3 (ALTO),,,,
3226,SALUD,HOSPITAL GENERAL DE OBREGON,CAJEME,CD OBREGON,27.4836196,-109.9550201,CONECTADA,0,"27.4836, -109.955",0,NIVEL 2 (MEDIO),,,,
3227,SALUD,HOSPITAL GENERAL PUERTO PEÑASCO,PUERTO PEÑASCO,PUERTO PEÑASCO,31.34137122,-113.5163813,CONECTADA,1.53,"31.33396389, -113.52995",0,NIVEL 2 (MEDIO),,,,
3228,SALUD,HOSPITAL INFANTIL DEL ESTADO DE SONORA,HERMOSILLO,HERMOSILLO,29.11642766,-110.9717468,CONECTADA,2.03,"29.11026111, -110.9913861",0,NIVEL 2 (MEDIO),,,,
3229,SALUD,HOSPITAL PSIQUIATRICO CARLOS NAVA,HERMOSILLO,HERMOSILLO,29.07151648,-110.9558313,CONECTADA,0.25,"29.07067222, -110.9533944",0,NIVEL 2 (MEDIO),,,,
3230,SALUD,HOSPITAL PSIQUIATRICO CRUZ DEL NORTE,HERMOSILLO,HERMOSILLO,29.08103594,-111.0050833,CONECTADA,2.44,"29.102933, -111.007014",0,NIVEL 2 (MEDIO),,,,
3231,SALUD,CENTRO DE SALUD RURAL LOMA DE GUAMUCHIL,CAJEME,LOMA DE GUAMUCHIL,27.61431905,-109.9842751,CONECTADA,6.83,"27.56626, -109.9411",0,NIVEL 2 (MEDIO),,,,
3232,SALUD,HOSPITAL COMUNITARIO VICAM PUEBLO,GUAYMAS,VICAM PUEBLO,27.64715273,-110.2960852,CONECTADA,0.02,"27.647, -110.296",0,NIVEL 2 (MEDIO),,,,
3265,SALUD,CENTRO DE SALUD RURAL BANAMICHI,BANAMICHI,BANAMICHI,30.00854721,-110.2167411,CONECTADA,0.2,"30.007164, -110.218019",0,NIVEL 2 (MEDIO),,,,
3266,SALUD,CENTRO DE SALUD RURAL BAVIACORA,BAVIACORA,BAVIACORA,29.71343655,-110.1657422,CONECTADA,0.09,"29.7141899999999, -110.16544",0,NIVEL 2 (MEDIO),,,,
3287,SALUD,CENTRO DE SALUD RURAL LA ATRAVEZADA,EMPALME,LA ATRAVEZADA,28.096451,-110.690013,CONECTADA,6.06,"28.075694, -110.747167",0,NIVEL 2 (MEDIO),,,,
3364,SALUD,CENTRO DE SALUD RURAL SAHUARIPA,SAHUARIPA,SAHUARIPA,29.05031644,-109.2326433,CONECTADA,0.68,"29.05637, -109.23347",0,NIVEL 2 (MEDIO),,,,
3370,SALUD,CENTRO DE SALUD RURAL ESTACION PESQUEIRA,SAN MIGUEL DE HORCASITAS,PESQUEIRA,29.3802486,-110.9014073,CONECTADA,12.6,"29.27303, -110.94341",0,NIVEL 2 (MEDIO),,,,
3391,SALUD,CENTRO DE SALUD RURAL YECORA,YECORA,YECORA,28.3702408,-108.930958,CONECTADA,0.41,"28.373942, -108.930475",0,NIVEL 2 (MEDIO),,,,
3408,SALUD,CENTRO DE SALUD URBANO CABORCA,CABORCA,CABORCA,30.71751841,-112.1790768,CONECTADA,1.09,"30.715511, -112.167881",0,NIVEL 2 (MEDIO),,,,
3420,SALUD,UNEME-ENFERMEDADES CRONICAS OBREGON,CAJEME,CIUDAD OBREGON,27.45562057,-109.9432108,CONECTADA,1.77,"27.46464167, -109.9284222",0,NIVEL 2 (MEDIO),,,,
3425,SALUD,HOSPITAL COMUNITARIO DE MAGDALENA,MAGDALENA,MAGDALENA  DE KINO,30.64212857,-110.9546661,CONECTADA,1.8,"30.6298, -110.96689",0,NIVEL 2 (MEDIO),,,,
3428,SALUD,HOSPITAL GENERAL DEL BAJO RIO MAYO,HUATABAMPO,HUATABAMPO,26.84254762,-109.6413577,CONECTADA,0.01,"26.842562, -109.641426",0,NIVEL 2 (MEDIO),,,,
3430,SALUD,CENTRO DE SALUD RURAL EMILIANO ZAPATA,CANANEA,EMILIANO ZAPATA,31.03163883,-110.1667731,CONECTADA,10.35,"30.98850278, -110.2630333",0,NIVEL 2 (MEDIO),,,,
3441,SALUD,POLICLINICO HUATABAMPO,HUATABAMPO,HUATABAMPO,26.827206,-109.634829,CONECTADA,1.76,"26.820916667, -109.61855556",0,NIVEL 2 (MEDIO),,,,
